"City_locality","iso3","country","super_region","super_region_name","pm25","sat_2014","log_pm25","log_sat","cluster_region"
"New Taipei","CHN","China",6,"SE-Asia/E-Asia/Oceania",22.2727272727273,15.5166835784912,3.10336293774636,2.74191580496788,3
"New York-Northern New Jersey-Long Island, NY-NJ-PA","USA","United States of America",1,"HighIncome",8.88888888888889,9.16997241973877,2.18480205733766,2.21593427860178,2
"Newcastle","AUS","Australia",1,"HighIncome",8.25113248433333,2.7086656888326,2.11035046175409,0.996456147895367,2
"NEWCASTLE UPON TYNE","GBR","United Kingdom",1,"HighIncome",10,7.90900230407715,2.30258509299405,2.06800164286069,2
"NEWMARKET","CAN","Canada",1,"HighIncome",7,7.35200023651123,1.94591014905531,1.99497241722303,2
"NEWPORT","GBR","United Kingdom",1,"HighIncome",13,9.92799949645996,2.56494935746154,2.29535899718312,2
"Ngaruawahia","NZL","New Zealand",1,"HighIncome",6,2.49850010871887,1.79175946922805,0.915690595315779,2
"NICE","FRA","France",1,"HighIncome",13.5,12.4865012168884,2.60268968544438,2.52464815814433,2
"NICOSIA","CYP","Cyprus",1,"HighIncome",19.5,22.5459976196289,2.9704144655697,3.11555756104391,2
"NIDZICA","POL","Poland",4,"E-Eur/C-Eur/C-Asia",20,21.7165012359619,2.99573227355399,3.0780723971897,4
"NIEDERZIER","DEU","Germany",1,"HighIncome",17,15.5539970397949,2.83321334405622,2.7443176499548,2
"NIEPOLOMICE","POL","Poland",4,"E-Eur/C-Eur/C-Asia",36,21.6820011138916,3.58351893845611,3.07648247461312,4
"NIGDE","TUR","Turkey",2,"N-Afr/MidEast",49,21.1464996337891,3.89182029811063,3.05147438984682,4
"Niigata city","JPN","Japan",1,"HighIncome",13,13.8394989967346,2.56494935746154,2.6275267498764,2
"NIJMEGEN","NLD","Netherlands",1,"HighIncome",14.5,16.4594955444336,2.67414864942653,2.80090254741802,2
"Nik_ic","MNE","Montenegro",4,"E-Eur/C-Eur/C-Asia",23,15.9369945526123,3.13549421592915,2.76864310806984,4
"Niles-Benton Harbor, MI","USA","United States of America",1,"HighIncome",9,9.13950157165527,2.19722457733622,2.21260585133744,2
"NIMES","FRA","France",1,"HighIncome",15.5,11.039999961853,2.7408400239252,2.40152503739361,2
"Ningbo","CHN","China",6,"SE-Asia/E-Asia/Oceania",45.125,54.6625657081604,3.80943641665304,4.00117911880848,3
