y,lagy,prvwinpty,deminc,repinc,year
46.3040794390813,56.962606277800504,1,0,0,1
54.3410751808394,46.3040794390813,-1,0,1,2
58.4580123126792,54.3410751808394,1,1,0,3
57.8258661771025,58.4580123126792,1,1,0,4
58.4674039580908,69.9679150739736,1,1,0,6
62.6141767001869,58.4674039580908,1,1,0,7
50.3317519349823,62.6141767001869,1,0,0,8
63.566843002856906,57.605701466355804,1,1,0,10
57.72131994518951,63.566843002856906,1,1,0,11
60.236139690579606,57.72131994518951,1,1,0,12
63.041181716324104,60.236139690579606,1,1,0,13
61.93041065343229,68.5865431945173,1,1,0,15
74.50361740979591,61.93041065343229,1,1,0,16
77.2442744081804,74.50361740979591,1,1,0,17
71.4029426366385,77.2442744081804,1,1,0,18
74.7361214434346,68.683082618992,1,1,0,20
40.9508627714563,49.3109975919714,-1,0,1,1
53.289099652863705,40.9508627714563,-1,0,1,2
49.8783909198553,53.289099652863705,1,0,0,3
50.8022494564623,49.8783909198553,-1,0,0,4
63.26581380701101,50.8022494564623,1,1,0,5
56.5422667501565,63.26581380701101,1,1,0,6
54.37913784363621,56.5422667501565,1,1,0,7
46.743681813488706,54.37913784363621,1,0,1,8
60.084226998665294,34.061273167698396,-1,0,0,10
65.62386456143899,60.084226998665294,1,1,0,11
69.9222380104442,65.62386456143899,1,1,0,12
53.3744172194032,69.9222380104442,1,0,0,13
54.6189086780297,56.1811404440041,1,1,0,15
67.3845451516984,54.6189086780297,1,1,0,16
63.6181649511077,67.3845451516984,1,1,0,17
59.7050117324879,63.6181649511077,1,1,0,18
50.00663067159229,50.798287647245395,1,1,0,20
40.0003783972982,47.33623146618171,-1,0,1,1
56.2225573617225,40.0003783972982,-1,0,1,2
54.910545018472995,56.2225573617225,1,1,0,3
56.021354102587395,54.910545018472995,1,1,0,4
56.1345469968353,63.896614849352204,1,1,0,6
55.983679881308205,56.1345469968353,1,1,0,7
56.3107901293905,55.983679881308205,1,1,0,8
67.445853221077,53.2751725047247,1,1,0,10
55.704255348383505,67.445853221077,1,1,0,11
59.2257772504022,55.704255348383505,1,1,0,12
47.0304670773604,59.2257772504022,1,0,0,13
52.7105792331004,50.4696835552289,1,1,0,15
69.6456649723919,52.7105792331004,1,1,0,16
66.492833910019,69.6456649723919,1,1,0,17
52.104332652170896,66.492833910019,1,0,0,18
63.449003450144,65.6787330316742,1,1,0,20
31.287391273601603,42.3965704827176,-1,0,1,1
50.905551470431995,31.287391273601603,-1,0,1,2
48.319334489270105,50.905551470431995,1,1,0,3
47.993191008679894,48.319334489270105,-1,0,1,4
50.95770423639279,51.8106317431833,1,1,0,6
47.9342890622139,50.95770423639279,1,1,0,7
42.9596109021633,47.9342890622139,-1,0,0,8
45.9324915792264,36.9153845439605,-1,0,1,10
37.787387458381794,45.9324915792264,-1,0,1,11
41.636323206493,37.787387458381794,-1,0,1,12
37.4229020547704,41.636323206493,-1,0,1,13
29.606051591517602,43.157128117982595,-1,0,1,15
46.4590079813606,29.606051591517602,-1,0,1,16
27.3834199436133,46.4590079813606,-1,0,1,17
23.437703754147503,27.3834199436133,-1,0,1,18
24.212246707018103,28.4121618349299,-1,0,1,20
38.0744943099315,47.24962239141829,-1,0,1,1
53.7978763606186,38.0744943099315,-1,0,1,2
55.0993922907022,53.7978763606186,1,1,0,3
58.514814632741796,55.0993922907022,1,1,0,4
59.062814606913,67.3022359563632,1,1,0,6
56.3150749254828,59.062814606913,1,1,0,7
55.2842422203341,56.3150749254828,1,1,0,8
48.761899625145,48.8168204771026,-1,0,1,10
32.992911312452804,48.761899625145,-1,0,1,11
52.31909140075721,32.992911312452804,-1,0,0,12
50.3653458120465,52.31909140075721,1,1,0,13
45.57001561686621,58.87320671429401,1,1,0,15
39.109451661678,45.57001561686621,-1,0,1,16
26.3613098798692,39.109451661678,-1,0,1,17
47.743927885819204,26.3613098798692,-1,0,0,18
46.5861686686401,41.624091450451395,-1,0,1,20
49.3688648220953,58.746814646775505,1,1,0,6
37.712280563219,49.3688648220953,-1,0,1,7
51.06991441737989,37.712280563219,-1,0,0,8
63.70928826786079,60.191442166188295,1,0,0,10
56.859042979121504,63.70928826786079,1,1,0,11
64.1978292275552,56.859042979121504,1,1,0,12
59.201463803233004,64.1978292275552,1,1,0,13
36.0168950767977,48.039149264387795,-1,0,1,15
35.824535710373205,36.0168950767977,-1,0,1,16
33.419269486164,35.824535710373205,-1,0,1,17
25.629700684646302,33.419269486164,-1,0,1,18
33.0252119128192,26.5562593472332,-1,0,1,20
38.549639599459,48.995241124934395,-1,0,1,1
56.03776528854571,38.549639599459,-1,0,1,2
53.975311924745796,56.03776528854571,1,1,0,3
52.7084895329675,53.975311924745796,1,0,0,4
49.9875029088057,47.928219346888504,-1,0,1,1
52.0833917898931,49.9875029088057,-1,0,1,2
46.243274223756195,52.0833917898931,1,1,0,3
49.946745158531506,40.369323508781704,-1,0,1,5
52.695643156216406,49.946745158531506,-1,0,0,6
56.62309802943379,52.695643156216406,1,1,0,7
59.161839742141105,56.62309802943379,1,1,0,8
59.36255711113971,59.161839742141105,1,1,0,9
49.8191522796401,59.36255711113971,1,1,0,10
42.6234485151482,49.8191522796401,-1,0,1,11
36.8046290919174,42.6234485151482,-1,0,1,12
31.5148501194253,36.8046290919174,-1,0,1,13
54.8597979361392,36.479390596927296,-1,0,0,16
63.21752715862221,54.8597979361392,1,1,0,17
60.196653726401394,63.21752715862221,1,0,0,18
65.0112311835768,60.196653726401394,1,1,0,19
53.440928636162006,46.0279878436639,-1,0,0,1
